"In_your_own_words,_what_would_you_call_the_part_of_?",Personally_identification_as_a_Midwesterner?,Illinois_in_MW?,Indiana_in_MW?,Iowa_in_MW?,Kansas_in_MW?,Michigan_in_MW?,Minnesota_in_MW?,Missouri_in_MW?,Nebraska_in_MW?,North_Dakota_in_MW?,Ohio_in_MW?,South_Dakota_in_MW?,Wisconsin_in_MW?,Arkansas_in_MW?,Colorado_in_MW?,Kentucky_in_MW?,Oklahoma_in_MW?,Pennsylvania_in_MW?,West_Virginia_in_MW?,Montana_in_MW?,Wyoming_in_MW?,ZIP_Code,Gender,Age,Household_Income,Education,Location_(Census_Region)
central part of US,Some,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,78028,Female,45-60,"$25,000 - $49,999",Some college,West South Central
Middle Plains,Not at all,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,74401,Female,45-60,"$25,000 - $49,999",Some college,West South Central
out of touch,Not at all,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,72335,Female,45-60,"$25,000 - $49,999",Some college,West South Central
Texas,Not at all,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,79701,Male,45-60,"$25,000 - $49,999",Some college,West South Central
Central South,Not much,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,75234,Female,30-44,"$25,000 - $49,999",Some college,West South Central
Texas,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,76014,Male,30-44,"$25,000 - $49,999",Some college,West South Central
jkjhj,Some,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,77876,Male,30-44,"$25,000 - $49,999",Some college,West South Central
The south.,Not at all,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,72202,Female,18-29,"$25,000 - $49,999",Some college,West South Central
central,Some,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,73160,Female,18-29,"$25,000 - $49,999",Some college,West South Central
City,Some,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,76010,Female,18-29,"$25,000 - $49,999",Some college,West South Central
Northeast,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,15213,Male,18-29,"$25,000 - $49,999",Some college,West South Central
The Midwest,A lot,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,74834,Male,18-29,"$25,000 - $49,999",Some college,West South Central
Texas  southeast,A lot,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,77080,Female,> 60,"$0 - $24,999",Some college,West South Central
Mid south,Some,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,74743,Male,> 60,"$0 - $24,999",Some college,West South Central
Hell,Not at all,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,73141,Female,45-60,"$0 - $24,999",Some college,West South Central
central usa,Not at all,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,73068,Male,45-60,"$0 - $24,999",Some college,West South Central
south west,Not much,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,76541,Male,45-60,"$0 - $24,999",Some college,West South Central
South,Not much,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,77056,Female,30-44,"$0 - $24,999",Some college,West South Central
Backwoods,Some,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,72683,Female,18-29,"$0 - $24,999",Some college,West South Central
"Mid-Atlantic half the year, Texas the other half",Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,,Male,18-29,"$0 - $24,999",Some college,West South Central
Mid-South,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,74074,Male,18-29,"$0 - $24,999",Some college,West South Central
Midwest,A lot,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,74104,Male,18-29,,Some college,West South Central
South Central,Not much,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,74962,Female,> 60,"$150,000+",High school degree,West South Central
One of the best places in te entire world,Not at all,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,77089,Male,18-29,"$150,000+",High school degree,West South Central
Southern midwest,Some,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,73439,Male,45-60,"$100,000 - $149,999",High school degree,West South Central
midwest united states,A lot,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,74105,Female,> 60,"$50,000 - $99,999",High school degree,West South Central
"the country, south, but not rural",Not at all,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,72032,Male,30-44,"$50,000 - $99,999",High school degree,West South Central
Southern,Not much,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,74070,Male,18-29,"$50,000 - $99,999",High school degree,West South Central
in a mess,Not at all,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,70131,Female,> 60,"$25,000 - $49,999",High school degree,West South Central
south,Not at all,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,71049,Female,30-44,"$25,000 - $49,999",High school degree,West South Central
Mid west,A lot,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,74135,Female,30-44,"$25,000 - $49,999",High school degree,West South Central
"Pretty scenery, filled with trashy shitty minded idiots.",Not at all,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,71832,Female,18-29,"$25,000 - $49,999",High school degree,West South Central
to close to the city,Not at all,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,77447,Male,45-60,"$0 - $24,999",High school degree,West South Central
small country area in the southern part of Arkansas,Not at all,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,71835,Female,30-44,"$0 - $24,999",High school degree,West South Central
,Not at all,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,79928,Male,30-44,"$0 - $24,999",High school degree,West South Central
The Heartland,A lot,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,73034,Female,45-60,,,West South Central
South Central Kentucky,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,42729,Male,> 60,"$150,000+",Graduate degree,East South Central
Rural,Some,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,41169,Male,> 60,"$150,000+",Graduate degree,East South Central
Southern US,Not at all,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,37203,Female,45-60,"$150,000+",Graduate degree,East South Central
mid-south,Not at all,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,38017,Male,45-60,"$150,000+",Graduate degree,East South Central
Southeast,Not at all,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,40503,Female,30-44,"$150,000+",Graduate degree,East South Central
south,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,38017,Male,30-44,"$100,000 - $149,999",Graduate degree,East South Central
The South,A lot,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,35127,Male,30-44,"$100,000 - $149,999",Graduate degree,East South Central
southeast,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,35214,Female,> 60,"$50,000 - $99,999",Graduate degree,East South Central
the South,Not at all,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,37411,Female,> 60,"$50,000 - $99,999",Graduate degree,East South Central
South,Not at all,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,35601,Female,> 60,"$50,000 - $99,999",Graduate degree,East South Central
South,Not much,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,40513,Male,> 60,"$50,000 - $99,999",Graduate degree,East South Central
South US,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,37072,Female,45-60,"$50,000 - $99,999",Graduate degree,East South Central
South,Not at all,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,42206,Male,45-60,"$50,000 - $99,999",Graduate degree,East South Central
the South,Not at all,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,35603,Female,30-44,"$50,000 - $99,999",Graduate degree,East South Central
Midwest,A lot,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,42301,Female,30-44,"$50,000 - $99,999",Graduate degree,East South Central
The South,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,36530,Male,30-44,"$50,000 - $99,999",Graduate degree,East South Central
"I live in the border between the South and the Midwest. Not totally Southern, not totally Midwestern.",Not much,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,40517,Female,18-29,"$50,000 - $99,999",Graduate degree,East South Central
southeast,Not at all,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,37128,Female,18-29,"$50,000 - $99,999",Graduate degree,East South Central
Midwest,A lot,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,41075,Female,45-60,"$25,000 - $49,999",Graduate degree,East South Central
South,Not at all,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,39202,Female,45-60,"$25,000 - $49,999",Graduate degree,East South Central
upper south,Some,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,40342,Male,45-60,"$25,000 - $49,999",Graduate degree,East South Central
Bluegrass region of Kentucky,A lot,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,40324,Male,30-44,"$25,000 - $49,999",Graduate degree,East South Central
southern,Some,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,40210,Female,> 60,"$0 - $24,999",Graduate degree,East South Central
South,Not at all,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,37209,Male,18-29,"$0 - $24,999",Graduate degree,East South Central
western Kentucky,Some,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,42071,Female,45-60,,Graduate degree,East South Central
The South,Not much,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,352542,Male,45-60,,Graduate degree,East South Central
Mid East,Not at all,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,40213,Female,45-60,"$150,000+",Associate or bachelor degree,East South Central
Deep South,Not at all,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,36067,Male,45-60,"$150,000+",Associate or bachelor degree,East South Central
South,Not at all,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,37215,Male,45-60,"$150,000+",Associate or bachelor degree,East South Central
Mid america,Not much,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40299,Male,45-60,"$150,000+",Associate or bachelor degree,East South Central
Middle east,Not much,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,40220,Female,30-44,"$150,000+",Associate or bachelor degree,East South Central
Midwest,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,41017,Female,30-44,"$150,000+",Associate or bachelor degree,East South Central
"Mideastern, but that doesn't go over well. So, Midwestern.",A lot,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,40324,Male,30-44,"$150,000+",Associate or bachelor degree,East South Central
"The South, Mid-South, actually.",Not at all,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,37917,Male,18-29,"$150,000+",Associate or bachelor degree,East South Central
"The south or southeast.  Also, of  course, Appalachia.",Not at all,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,42103,Male,18-29,"$150,000+",Associate or bachelor degree,East South Central
Central Eastern,Not at all,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,40503,Male,18-29,"$150,000+",Associate or bachelor degree,East South Central
The South,Not at all,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,30506,Female,> 60,"$100,000 - $149,999",Associate or bachelor degree,East South Central
Southern country,Not at all,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,42729,Female,30-44,"$100,000 - $149,999",Associate or bachelor degree,East South Central
mid-east,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,40220,Female,18-29,"$100,000 - $149,999",Associate or bachelor degree,East South Central
Mid-east,Some,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,40517,Female,> 60,"$50,000 - $99,999",Associate or bachelor degree,East South Central
south central kentucky,Not at all,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,42103,Male,> 60,"$50,000 - $99,999",Associate or bachelor degree,East South Central
We live out in the country. No surrounding homes on 5 aches,A lot,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,42134,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,East South Central
Midwest,Some,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,40291,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,East South Central
South,Not at all,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,42303,Male,45-60,"$50,000 - $99,999",Associate or bachelor degree,East South Central
"SouthEast beautiful, mountainous",Not at all,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,37642,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,East South Central
South,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,39327,Male,45-60,"$50,000 - $99,999",Associate or bachelor degree,East South Central
Mid-eastern appalachia,Not at all,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,41240,Female,30-44,"$50,000 - $99,999",Associate or bachelor degree,East South Central
the south,Not much,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,37214,Female,30-44,"$50,000 - $99,999",Associate or bachelor degree,East South Central
mid-south,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,38138,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,East South Central
Midwest,A lot,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,40502,Female,18-29,"$50,000 - $99,999",Associate or bachelor degree,East South Central
South,Not at all,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,40517,Female,18-29,"$50,000 - $99,999",Associate or bachelor degree,East South Central
Border state between N & S,Not at all,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,40213,Female,> 60,"$25,000 - $49,999",Associate or bachelor degree,East South Central
Appalachia,Not at all,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,41522,Male,45-60,"$25,000 - $49,999",Associate or bachelor degree,East South Central
midwest,A lot,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,42003,Male,45-60,"$25,000 - $49,999",Associate or bachelor degree,East South Central
Dirty south,Some,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,38301,Female,18-29,"$25,000 - $49,999",Associate or bachelor degree,East South Central
rural eastern ky,A lot,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,41339,Male,30-44,"$0 - $24,999",Associate or bachelor degree,East South Central
South,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,37841,Female,18-29,"$0 - $24,999",Associate or bachelor degree,East South Central
Southeast,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,31088,Female,18-29,"$0 - $24,999",Associate or bachelor degree,East South Central
The South,Not at all,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,37748,Male,18-29,"$0 - $24,999",Associate or bachelor degree,East South Central
NE TN,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,37659,Female,> 60,"$150,000+",Some college,East South Central
The upper south,Some,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,40509,Female,45-60,"$150,000+",Some college,East South Central
Mid-South,Some,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,38016,Female,45-60,"$150,000+",Some college,East South Central
The South,Not much,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,39401,Male,45-60,"$150,000+",Some college,East South Central
Midwest,A lot,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,40379,Male,45-60,"$150,000+",Some college,East South Central
Mid South,Some,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,41169,Male,45-60,"$150,000+",Some college,East South Central
North Eastern Kentucky,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,41175,Male,18-29,"$150,000+",Some college,East South Central
The South,Some,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,39443,Female,> 60,"$100,000 - $149,999",Some college,East South Central
Midwest,Some,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,42352,Male,> 60,"$100,000 - $149,999",Some college,East South Central
South central,Some,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,40241,Male,45-60,"$100,000 - $149,999",Some college,East South Central
South,Not much,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,40502,Female,30-44,"$100,000 - $149,999",Some college,East South Central
"North East, near the Appalachian Trail and Ohio River.",Not at all,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,41169,Female,30-44,"$100,000 - $149,999",Some college,East South Central
Southeastern,Not at all,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,37130,Male,30-44,"$100,000 - $149,999",Some college,East South Central
The South,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,38104,Male,30-44,"$100,000 - $149,999",Some college,East South Central
East,Not much,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,41051,Female,18-29,"$100,000 - $149,999",Some college,East South Central
MIDwESTERN,A lot,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,40261,Female,> 60,"$50,000 - $99,999",Some college,East South Central
Midwest,A lot,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,41001,Female,45-60,"$50,000 - $99,999",Some college,East South Central
southeast,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,40026,Female,30-44,"$50,000 - $99,999",Some college,East South Central
Southeast,Not at all,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,40214,Female,30-44,"$50,000 - $99,999",Some college,East South Central
South,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,37415,Male,30-44,"$50,000 - $99,999",Some college,East South Central
South,A lot,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,35209,Female,45-60,"$25,000 - $49,999",Some college,East South Central
east,Not at all,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,37914,Female,45-60,"$25,000 - $49,999",Some college,East South Central
The South,A lot,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,36695,Male,45-60,"$25,000 - $49,999",Some college,East South Central
In the county,Not at all,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,38821,Male,30-44,"$25,000 - $49,999",Some college,East South Central
Southern,Not at all,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,35810,Female,45-60,"$0 - $24,999",Some college,East South Central
"I'm move from Southeastern Kentucky to an area with decent roads,NO Coal Companies and where people can find decent paying jobs",Not at all,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,41722,Male,45-60,"$0 - $24,999",Some college,East South Central
America's Heartland,Not much,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,42071,Female,18-29,"$0 - $24,999",Some college,East South Central
cold,Some,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,41015,Female,18-29,"$0 - $24,999",Some college,East South Central
East central USA,Some,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,42303,Female,18-29,"$0 - $24,999",Some college,East South Central
The South,Not at all,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,37919,Female,18-29,"$0 - $24,999",Some college,East South Central
SOME WHAT SOUTHERN,Not much,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,40216,Male,18-29,"$0 - $24,999",Some college,East South Central
A rural counytyside,Not at all,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,42027,Female,> 60,"$150,000+",High school degree,East South Central
South,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,38167,Female,> 60,"$50,000 - $99,999",High school degree,East South Central
The South,Not at all,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,37122,Male,18-29,"$0 - $24,999",High school degree,East South Central
"Boring, hilly, cold, the Nasty Nati",Not much,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,41076,Male,18-29,"$0 - $24,999",High school degree,East South Central
best part of us,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,42129,Male,> 60,"$0 - $24,999",Less than high school degree,East South Central
south east,Not at all,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,40272,Female,> 60,,,East South Central
South,Not much,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,42001,Male,45-60,,,East South Central
eastern,Not at all,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,26362,Female,> 60,"$150,000+",Graduate degree,South Atlantic
The Southeast,Not at all,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,34209,Female,> 60,"$150,000+",Graduate degree,South Atlantic
mid atlantic,Not at all,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,21012,Female,> 60,"$150,000+",Graduate degree,South Atlantic
Fairfax County,Not at all,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,20170,Male,> 60,"$150,000+",Graduate degree,South Atlantic
Mid-Atlantic,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,20910,Male,> 60,"$150,000+",Graduate degree,South Atlantic
Southeast,Not much,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,33411,Male,> 60,"$150,000+",Graduate degree,South Atlantic
Southeast,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,32653,Male,> 60,"$150,000+",Graduate degree,South Atlantic
