N,TREE,BR,TL,IN,INTERNODE_1,INTERNODE_2,INTERNODE_3,INTERNODE_4,INTERNODE_5,INTERNODE_6,INTERNODE_7,INTERNODE_8,INTERNODE_9,INTERNODE_10,INTERNODE_11,INTERNODE_12,INTERNODE_13,INTERNODE_14,INTERNODE_15,INTERNODE_16,INTERNODE_17,INTERNODE_18,INTERNODE_19,INTERNODE_20,INTERNODE_21,INTERNODE_22,INTERNODE_23,INTERNODE_24,INTERNODE_25,INTERNODE_26,INTERNODE_27,INTERNODE_28,INTERNODE_29,binaryClass
214.0,Q5,D,0.0,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
215.0,Q5,D,0.0,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
216.0,Q5,E,19.0,7,0.3,0.6,1.8,6.3,7.4,2.3,0.2,,,,,,,,,,,,,,,,,,,,,,,N
217.0,Q5,E,51.0,12,0.5,1.7,6.8,8.8,8.7,5.7,4.4,5.6,4.6,2.2,1.3,0.6,,,,,,,,,,,,,,,,,,N
218.0,Q5,F,51.0,12,1.0,2.5,6.3,9.0,7.5,6.2,4.8,4.5,5.3,1.2,2.0,0.4,,,,,,,,,,,,,,,,,,N
219.0,Q5,G,28.0,9,0.3,1.0,3.4,6.9,6.0,5.0,3.5,1.5,0.3,,,,,,,,,,,,,,,,,,,,,N
220.0,Q5,G,70.5,17,0.7,3.2,6.7,6.2,5.6,5.0,6.6,6.4,5.0,4.7,5.6,5.3,4.7,2.5,1.3,0.7,0.3,,,,,,,,,,,,,N
221.0,Q5,H,1.5,2,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
222.0,Q5,H,19.0,6,0.3,1.0,5.2,8.7,3.6,0.3,,,,,,,,,,,,,,,,,,,,,,,,N
223.0,Q5,H,23.0,6,0.3,1.2,5.7,8.8,5.6,1.2,,,,,,,,,,,,,,,,,,,,,,,,N
224.0,Q5,H,8.0,5,0.5,1.5,5.3,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,N
225.0,Q5,H,6.0,4,0.3,1.2,3.4,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,N
226.0,Q5,H,2.0,3,0.2,1.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,N
227.0,J29,A,1.0,2,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
228.0,J29,A,1.0,2,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
229.0,J29,A,39.0,10,1.2,4.0,9.3,7.1,6.8,4.6,2.9,1.8,0.8,0.2,,,,,,,,,,,,,,,,,,,,N
230.0,J29,A,25.0,9,0.4,1.3,5.5,6.3,2.8,3.6,3.0,1.5,0.2,,,,,,,,,,,,,,,,,,,,,N
231.0,J29,A,14.0,7,0.3,0.7,4.5,4.2,3.1,1.2,0.2,,,,,,,,,,,,,,,,,,,,,,,N
232.0,J29,A,50.0,14,0.5,1.7,2.5,9.4,8.0,8.0,6.9,3.9,3.7,1.7,1.6,0.7,0.7,0.4,,,,,,,,,,,,,,,,N
233.0,J29,A,1.0,2,0.2,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
234.0,J29,A,11.0,6,0.3,1.1,1.9,4.9,2.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,N
235.0,J29,A,1.0,3,0.2,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,N
236.0,J29,A,1.0,3,0.2,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,N
237.0,J29,A,1.0,2,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
238.0,J29,A,2.0,3,0.3,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,N
239.0,J29,B,2.0,3,0.3,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,N
240.0,J29,B,30.0,8,0.5,1.5,4.7,8.7,7.0,5.6,1.8,0.3,,,,,,,,,,,,,,,,,,,,,,N
241.0,J29,B,20.0,7,0.5,2.7,5.6,6.3,3.7,1.2,0.2,,,,,,,,,,,,,,,,,,,,,,,N
242.0,J29,B,3.0,3,0.5,1.1,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,N
243.0,J29,C,102.0,21,0.3,0.8,4.3,10.0,9.3,10.4,11.8,8.8,7.5,6.3,7.1,9.3,4.0,2.8,2.3,2.5,1.8,1.8,0.7,0.2,0.2,,,,,,,,,N
244.0,J29,D,0.5,2,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
245.0,J29,D,34.0,11,0.5,1.0,4.7,6.6,6.0,5.2,3.6,3.0,2.0,0.8,0.2,,,,,,,,,,,,,,,,,,,N
246.0,J29,D,19.0,9,0.2,0.6,1.4,3.4,5.2,5.3,2.4,0.3,0.2,,,,,,,,,,,,,,,,,,,,,N
247.0,J29,D,48.0,11,0.3,1.1,3.1,6.1,5.3,7.8,8.2,6.8,5.0,3.1,0.8,,,,,,,,,,,,,,,,,,,N
248.0,J29,D,47.0,11,0.5,1.8,8.0,8.5,6.1,7.7,6.3,4.0,2.7,1.1,0.2,,,,,,,,,,,,,,,,,,,N
249.0,J29,D,1.0,2,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
250.0,J29,D,1.5,3,0.2,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,N
251.0,J29,D,41.5,13,0.5,0.8,4.8,10.0,5.3,5.8,5.7,3.4,2.6,1.0,0.9,0.4,0.3,,,,,,,,,,,,,,,,,N
252.0,J29,E,1.0,3,0.2,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,N
253.0,J29,E,68.0,16,0.3,1.2,5.0,9.2,6.6,6.8,6.5,4.4,5.0,4.7,5.6,5.0,4.0,2.4,0.8,0.2,,,,,,,,,,,,,,N
254.0,J29,E,26.0,9,0.5,1.0,3.5,7.8,5.8,4.5,2.3,0.4,0.2,,,,,,,,,,,,,,,,,,,,,N
255.0,J29,E,1.0,3,0.3,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
256.0,J29,E,1.0,3,0.2,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
257.0,J29,F,0.5,2,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
258.0,J29,F,1.0,3,0.3,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
259.0,J29,F,1.0,2,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
260.0,J29,F,18.0,8,0.3,1.0,2.8,6.2,4.1,3.1,0.7,0.2,,,,,,,,,,,,,,,,,,,,,,N
261.0,J29,F,41.0,13,0.5,1.5,5.0,7.4,4.2,6.4,6.5,4.0,2.4,1.4,0.8,0.4,0.2,,,,,,,,,,,,,,,,,N
262.0,J29,F,15.0,8,0.4,1.2,4.0,5.4,1.5,1.7,0.7,0.3,,,,,,,,,,,,,,,,,,,,,,N
263.0,J29,F,2.0,4,0.3,0.7,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,N
264.0,J29,F,5.5,6,0.3,0.7,2.2,1.6,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,N
265.0,J29,F,1.0,3,0.2,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
266.0,J29,F,2.0,5,0.2,0.6,0.8,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,N
267.0,J29,F,0.0,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
268.0,J29,G,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
269.0,J29,G,3.0,4,0.2,0.5,1.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,N
270.0,J29,G,28.0,8,0.5,1.2,6.7,8.1,5.5,3.9,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,N
271.0,J29,G,2.0,3,0.3,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,N
272.0,J29,G,32.0,11,0.3,1.1,6.0,8.2,7.1,4.8,2.7,0.7,0.5,0.3,0.2,,,,,,,,,,,,,,,,,,,N
273.0,J29,G,28.0,9,0.3,1.2,6.5,9.1,5.0,3.2,1.8,0.6,0.2,,,,,,,,,,,,,,,,,,,,,N
274.0,J29,G,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
275.0,J29,G,1.0,3,0.2,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
276.0,J29,G,1.0,3,0.2,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
277.0,J29,G,1.0,2,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
278.0,J29,H,1.0,3,0.2,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,N
279.0,J29,H,1.0,2,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
280.0,J29,H,2.0,3,0.3,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,N
281.0,J29,H,97.0,17,0.5,1.8,8.4,9.8,8.8,9.3,8.5,7.1,6.7,7.3,7.2,7.4,6.2,4.8,2.4,0.7,0.2,,,,,,,,,,,,,N
282.0,J29,H,55.0,12,0.5,3.1,9.0,8.5,7.7,7.7,6.2,4.9,5.2,1.1,0.6,0.2,,,,,,,,,,,,,,,,,,N
283.0,J29,H,1.0,3,0.2,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
284.0,J29,H,1.0,3,0.2,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
285.0,J29,H,86.0,16,0.5,4.1,9.1,9.2,9.8,8.3,6.6,6.5,5.6,6.0,7.5,5.6,3.5,2.4,0.7,0.2,,,,,,,,,,,,,,N
286.0,Q23,A,0.0,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
287.0,Q23,A,0.5,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
288.0,Q23,A,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
289.0,Q23,A,21.0,7,0.3,1.5,5.1,7.6,4.8,1.3,0.2,,,,,,,,,,,,,,,,,,,,,,,N
290.0,Q23,A,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
291.0,Q23,A,1.0,3,0.3,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
292.0,Q23,A,0.5,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
293.0,Q23,A,0.0,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
294.0,Q23,A,3.0,4,0.4,0.5,1.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,N
295.0,Q23,B,1.0,3,0.2,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
296.0,Q23,B,1.5,3,0.2,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,N
297.0,Q23,B,1.0,3,0.2,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,N
298.0,Q23,B,20.0,9,0.6,1.5,4.5,5.5,3.1,2.0,1.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,N
299.0,Q23,B,1.0,3,0.3,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
300.0,Q23,B,5.5,5,0.4,0.8,2.3,1.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,N
301.0,Q23,B,1.0,3,0.2,0.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
302.0,Q23,B,1.0,3,0.3,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,N
303.0,Q23,B,1.0,3,0.2,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
304.0,Q23,B,6.0,5,0.5,1.2,2.2,1.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,N
305.0,Q23,C,1.5,4,0.2,0.6,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,N
306.0,Q23,C,9.0,5,0.3,2.1,4.1,2.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,N
307.0,Q23,C,86.0,16,0.5,2.0,7.3,10.0,10.6,8.6,8.6,6.7,5.8,5.2,5.5,5.1,4.9,3.4,1.5,0.4,,,,,,,,,,,,,,N
308.0,Q23,C,20.0,6,0.3,2.4,6.3,7.6,2.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,N
309.0,Q23,C,26.0,8,0.5,1.5,4.2,6.3,7.1,4.5,1.6,0.3,,,,,,,,,,,,,,,,,,,,,,N
310.0,Q23,C,1.5,3,0.2,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,N
311.0,Q23,C,1.0,3,0.2,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
312.0,Q23,C,1.0,3,0.2,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
313.0,Q23,D,1.0,3,0.2,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
314.0,Q23,D,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
315.0,Q23,D,1.0,3,0.2,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,N
316.0,Q23,D,1.0,3,0.2,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,N
317.0,Q23,D,1.0,3,0.3,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,N
318.0,Q23,D,2.0,4,0.2,0.5,0.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,N
319.0,Q23,D,14.0,6,0.4,1.1,2.7,6.0,3.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,N
320.0,Q23,D,2.0,4,0.3,0.6,0.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,N
321.0,Q23,D,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
322.0,Q23,D,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
323.0,Q23,D,1.0,3,0.2,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
324.0,Q23,E,0.5,2,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
325.0,Q23,E,1.0,2,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
326.0,Q23,E,1.0,3,0.3,0.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
327.0,Q23,E,2.0,3,0.3,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,N
328.0,Q23,E,1.0,3,0.3,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,N
329.0,Q23,E,6.0,5,0.4,0.9,1.7,2.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,N
330.0,Q23,E,1.5,4,0.2,0.5,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,N
331.0,Q23,E,3.0,4,0.4,0.7,1.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,N
332.0,Q23,E,1.0,3,0.3,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,N
333.0,Q23,E,7.0,5,0.4,1.3,2.7,2.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,N
334.0,Q23,E,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
335.0,Q23,E,2.0,4,0.7,0.8,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,N
336.0,Q23,E,1.0,2,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
337.0,Q23,E,1.5,4,0.2,0.5,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,N
338.0,Q23,E,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
339.0,Q23,F,25.0,9,0.3,0.7,2.1,5.0,6.1,4.9,4.1,1.8,0.3,,,,,,,,,,,,,,,,,,,,,N
340.0,Q23,F,41.5,12,0.5,1.2,3.7,5.6,8.0,6.2,3.9,5.0,4.4,1.8,1.0,0.2,,,,,,,,,,,,,,,,,,N
341.0,Q23,F,3.5,4,0.4,1.1,1.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,N
342.0,Q23,F,22.0,8,0.3,1.0,3.0,5.6,6.3,4.2,1.5,0.2,,,,,,,,,,,,,,,,,,,,,,N
343.0,Q23,F,4.0,4,0.5,1.3,1.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,N
344.0,Q23,F,2.0,4,0.3,1.0,0.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,N
345.0,Q23,F,1.5,3,0.2,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,N
346.0,Q23,F,0.0,2,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
347.0,Q23,F,1.0,3,0.3,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
348.0,Q23,F,0.5,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
349.0,Q23,G,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
350.0,Q23,G,1.0,3,0.3,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,N
351.0,Q23,G,0.0,2,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
352.0,Q23,G,1.0,3,0.2,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,N
353.0,Q23,G,1.0,3,0.2,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,N
354.0,Q23,G,15.0,7,0.3,0.8,2.2,3.8,5.2,2.7,0.3,,,,,,,,,,,,,,,,,,,,,,,N
355.0,Q23,G,1.0,3,0.2,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
356.0,Q23,G,0.5,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
357.0,Q23,G,1.0,4,0.2,0.4,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,N
358.0,Q23,G,1.0,4,0.2,0.5,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,N
359.0,Q23,G,2.0,3,0.3,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,N
360.0,Q23,G,19.0,6,0.4,1.2,4.2,6.3,5.5,1.6,,,,,,,,,,,,,,,,,,,,,,,,N
361.0,Q23,G,37.0,10,0.5,1.3,4.5,7.4,8.0,6.8,5.5,2.0,0.9,0.3,,,,,,,,,,,,,,,,,,,,N
362.0,Q23,G,7.0,4,0.3,2.3,3.2,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,N
363.0,Q23,G,11.0,5,0.5,3.0,4.6,2.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,N
364.0,Q23,G,31.0,10,0.3,1.1,3.7,5.8,7.0,5.0,3.8,2.8,1.5,0.2,,,,,,,,,,,,,,,,,,,,N
365.0,Q23,G,0.5,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
366.0,Q23,G,2.0,3,0.3,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,N
367.0,Q23,G,5.0,5,0.3,0.6,1.8,2.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,N
368.0,Q23,G,1.0,3,0.2,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
369.0,Q23,G,2.0,4,0.2,0.8,1.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,N
370.0,Q23,G,1.0,3,0.2,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
371.0,Q23,G,1.0,3,0.2,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
372.0,J13,A,3.0,4,0.3,0.8,1.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,N
373.0,J13,A,44.0,8,2.0,8.8,13.1,9.6,6.2,3.2,1.1,0.2,,,,,,,,,,,,,,,,,,,,,,N
374.0,J13,B,20.5,7,0.6,2.0,2.6,4.2,5.2,4.3,1.6,,,,,,,,,,,,,,,,,,,,,,,N
375.0,J13,B,1.0,2,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
376.0,J13,B,3.0,4,0.6,1.4,0.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,N
377.0,J13,B,4.0,4,0.5,1.2,1.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,N
378.0,J13,B,4.5,4,0.3,1.7,1.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,N
379.0,J13,B,47.0,9,1.9,4.0,7.8,11.1,10.8,6.2,3.3,1.5,0.3,,,,,,,,,,,,,,,,,,,,,N
380.0,J13,B,69.0,17,0.8,3.6,5.2,7.0,8.2,9.1,7.5,6.2,5.3,4.2,4.4,1.7,1.6,1.7,1.7,0.8,0.2,,,,,,,,,,,,,N
381.0,J13,B,30.0,8,0.5,1.8,3.0,4.3,7.6,7.9,4.0,0.8,,,,,,,,,,,,,,,,,,,,,,N
382.0,J13,B,6.0,5,0.3,1.7,2.3,1.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,N
383.0,J13,B,2.0,4,0.2,0.8,1.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,N
384.0,J13,B,5.0,6,0.3,1.1,1.2,0.8,1.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,N
385.0,J13,C,1.0,2,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
386.0,J13,C,6.0,5,0.3,1.3,2.7,1.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,N
387.0,J13,C,43.0,9,0.3,2.2,6.2,9.5,10.5,7.8,5.1,1.4,0.2,,,,,,,,,,,,,,,,,,,,,N
388.0,J13,C,23.0,6,0.3,3.8,8.1,7.5,2.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,N
389.0,J13,C,42.5,8,0.7,3.7,10.1,10.5,9.3,5.3,2.6,0.3,,,,,,,,,,,,,,,,,,,,,,N
390.0,J13,C,104.0,20,0.5,2.5,8.2,10.7,9.8,8.5,7.3,7.0,5.4,4.0,4.7,7.3,6.9,4.5,5.0,5.3,3.4,1.9,1.0,0.3,,,,,,,,,,N
391.0,J13,C,9.0,5,0.3,2.5,5.1,1.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,N
392.0,J13,D,2.0,3,0.5,1.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,N
393.0,J13,D,22.5,6,1.6,6.2,7.0,5.2,2.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,N
394.0,J13,D,29.0,6,0.5,2.8,9.1,9.6,5.9,1.3,,,,,,,,,,,,,,,,,,,,,,,,N
395.0,J13,D,61.0,10,0.3,4.2,9.7,12.3,12.4,9.5,7.2,3.6,1.9,0.2,,,,,,,,,,,,,,,,,,,,N
396.0,J13,D,40.5,9,0.6,3.0,6.5,10.2,8.1,6.8,3.8,1.3,0.2,,,,,,,,,,,,,,,,,,,,,N
397.0,J13,D,11.0,5,0.5,2.5,6.3,1.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,N
398.0,J13,E,70.0,13,0.5,1.8,3.2,6.2,8.0,10.2,9.3,8.0,7.0,7.4,5.2,2.7,0.4,,,,,,,,,,,,,,,,,N
399.0,J13,F,1.5,3,0.5,0.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
400.0,J13,F,1.0,3,0.2,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
401.0,J13,F,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
402.0,J13,F,1.0,3,0.2,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
403.0,J13,F,1.0,3,0.3,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
404.0,J13,F,1.0,3,0.2,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
405.0,J13,F,1.0,2,0.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
406.0,J13,F,6.5,6,0.5,1.1,1.3,1.7,1.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,N
407.0,J13,F,1.0,3,0.5,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,N
408.0,J13,F,1.0,3,0.2,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
409.0,J13,F,6.0,5,0.6,1.5,1.2,1.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,N
410.0,J13,F,0.5,2,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
411.0,J13,F,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
412.0,J13,F,2.0,3,0.3,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,N
413.0,J13,F,3.5,5,0.3,1.2,1.0,0.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,N
414.0,J13,F,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
415.0,J25,A,92.0,17,0.6,2.3,7.5,9.5,9.0,7.8,8.0,7.2,6.0,6.2,5.0,5.5,4.6,4.4,4.3,2.8,0.9,,,,,,,,,,,,,N
416.0,J25,B,24.0,5,0.6,3.4,11.1,7.6,1.1,,,,,,,,,,,,,,,,,,,,,,,,,N
417.0,J25,C,56.5,11,1.5,6.3,9.7,7.6,6.5,5.9,6.0,4.3,4.5,3.3,0.9,,,,,,,,,,,,,,,,,,,N
418.0,J25,C,97.0,16,0.8,5.0,12.0,13.0,11.0,8.6,9.0,7.1,5.4,5.2,6.0,5.1,3.6,2.6,1.8,0.6,,,,,,,,,,,,,,N
419.0,J25,C,122.0,19,1.5,5.5,11.7,13.0,8.5,8.3,7.3,6.1,6.2,5.7,6.7,6.8,7.0,6.9,5.5,4.5,4.6,3.4,2.4,,,,,,,,,,,N
420.0,J25,D,12.0,5,0.4,3.3,6.6,1.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,N
421.0,J25,D,46.0,9,1.2,2.3,8.0,9.1,7.5,7.0,5.3,3.8,1.6,,,,,,,,,,,,,,,,,,,,,N
422.0,J25,E,44.0,11,0.4,1.6,6.0,8.1,7.0,6.5,5.4,4.2,3.2,1.7,0.2,,,,,,,,,,,,,,,,,,,N
423.0,J25,E,35.0,8,0.5,1.6,6.2,8.2,7.3,5.8,4.1,1.4,,,,,,,,,,,,,,,,,,,,,,N
424.0,J25,E,39.0,7,0.7,4.0,12.0,11.5,7.6,2.5,0.3,,,,,,,,,,,,,,,,,,,,,,,N
425.0,J25,F,23.0,7,0.3,1.4,4.8,7.2,6.0,2.8,0.3,,,,,,,,,,,,,,,,,,,,,,,N
426.0,J25,F,98.0,16,0.8,2.6,8.2,11.2,10.6,9.2,8.6,8.1,8.2,7.2,5.8,6.6,5.5,3.4,1.7,0.4,,,,,,,,,,,,,,N
427.0,J25,F,1.0,2,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
428.0,J25,F,33.5,8,0.3,0.8,2.5,6.5,8.3,6.1,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,N
429.0,J25,F,22.0,7,0.3,1.0,3.6,5.3,6.1,4.5,1.5,,,,,,,,,,,,,,,,,,,,,,,N
430.0,J25,F,40.0,8,0.4,1.1,4.3,7.7,8.8,8.6,5.8,2.9,,,,,,,,,,,,,,,,,,,,,,N
431.0,O27,A,24.0,7,0.3,1.8,6.2,7.8,5.3,2.3,0.4,,,,,,,,,,,,,,,,,,,,,,,N
