Actual Time,Age,Community Building,Community Membership_Family,Community Membership_Hobbies,Community Membership_None,Community Membership_Other,Community Membership_Political,Community Membership_Professional,Community Membership_Religious,Community Membership_Support,Country,Disability_Cognitive,Disability_Hearing,Disability_Motor,Disability_Not Impaired,Disability_Not Say,Disability_Vision,Education Attainment,Falsification of Information,Gender,Household Income,How You Heard About Survey_Banner,How You Heard About Survey_Friend,How You Heard About Survey_Mailing List,How You Heard About Survey_Others,How You Heard About Survey_Printed Media,How You Heard About Survey_Remebered,How You Heard About Survey_Search Engine,How You Heard About Survey_Usenet News,How You Heard About Survey_WWW Page,Major Geographical Location,Major Occupation,Marital Status,Most Import Issue Facing the Internet,Opinions on Censorship,Primary Computing Platform,Primary Language,Primary Place of WWW Access,Race,Not Purchasing_Bad experience,Not Purchasing_Bad press,Not Purchasing_Cant find,Not Purchasing_Company policy,Not Purchasing_Easier locally,Not Purchasing_Enough info,Not Purchasing_Judge quality,Not Purchasing_Never tried,Not Purchasing_No credit,Not Purchasing_Not applicable,Not Purchasing_Not option,Not Purchasing_Other,Not Purchasing_Prefer people,Not Purchasing_Privacy,Not Purchasing_Receipt,Not Purchasing_Security,Not Purchasing_Too complicated,Not Purchasing_Uncomfortable,Not Purchasing_Unfamiliar vendor,Registered to Vote,Sexual Preference,Web Ordering,Web Page Creation,Who Pays for Access_Don't Know,Who Pays for Access_Other,Who Pays for Access_Parents,Who Pays for Access_School,Who Pays for Access_Self,target
College Student,22.0,Equally,0,1,0,0,0,0,0,0,Mississippi,0,0,0,1,0,0,High School,Never,Male,$30-39,0,0,0,1,1,0,0,0,1,USA,Education,Single,Privacy,1,nan,English,Home,White,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,Yes,Heterosexual,Yes,Yes,0,0,1,0,0,0
Other,46.0,Equally,0,0,0,0,1,0,0,0,Virginia,0,0,0,1,0,0,College,nan,Male,Over $100,0,0,0,0,0,0,0,0,1,USA,Computer,Married,Censorship,1,Win95,English,Primarily home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Yes,Heterosexual,No,Yes,0,0,0,0,1,0
Civil Servant,40.0,Equally,0,0,0,1,0,0,0,0,Texas,0,0,0,1,0,0,Some College,Never,Female,Not Say,0,0,0,1,0,0,0,0,0,USA,Other,Married,Censorship,4,nan,English,Home,White,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0
Consultant,38.0,Dont Know,0,0,1,0,0,0,0,0,Wisconsin,0,0,0,1,0,0,Some College,Under 25,Female,$50-74,0,0,1,0,0,0,0,0,0,USA,Professional,Single,Privacy,1,Win95,English,Work,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0
College Student,20.0,More,0,1,0,0,0,0,0,0,New Zealand,0,0,0,1,0,0,Some College,Over 75,Male,Under $10,0,0,0,0,0,0,0,0,1,Oceania,Education,Single,Censorship,2,Win95,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes,Heterosexual,No,Yes,0,1,0,0,0,0
Self Employed,32.0,Dont Know,0,0,1,0,0,0,0,0,California,0,0,0,1,0,0,College,51-75,Female,$50-74,0,0,0,0,0,1,0,0,0,USA,Management,Married,Other,4,Win95,English,Primarily work,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0
Engineer,22.0,Dont Know,0,0,0,0,0,1,0,0,New York,0,0,0,1,0,0,College,Never,Male,$30-39,0,0,0,0,0,1,0,0,0,USA,Professional,Single,Censorship,3,PC Unix,English,Work,White,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,0,1
Manager,41.0,More,0,1,0,0,0,0,0,0,Pennsylvania,0,0,0,1,0,0,Some College,Never,Male,$75-99,0,0,1,0,0,0,0,0,0,USA,Management,Other,Navigation,3,OS2,English,Primarily home,White,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,Yes,Gay male,Yes,No,0,0,0,0,1,0
Manager,41.0,Dont Know,1,1,0,1,0,1,0,1,Texas,0,0,0,1,0,0,Some College,nan,Female,$40-49,0,0,0,0,0,0,1,0,0,USA,Management,Married,Encryption,4,Win95,English,Home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,No,Not say,Yes,No,0,0,0,0,1,0
Salesperson,32.0,More,0,1,0,0,0,1,0,0,Other,0,0,0,1,0,0,Special,Under 25,Male,$10-19,0,0,0,0,0,1,0,1,0,Europe,Professional,Married,Encryption,1,Win95,English,Primarily work,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,No,Not say,Yes,Yes,0,0,0,0,1,0
CEO,31.0,Equally,0,0,1,0,0,0,0,0,Virginia,0,0,0,1,0,0,College,Under 25,Male,$50-74,0,0,0,0,1,0,0,0,0,USA,Management,Widowed,Navigation,1,Win95,English,Primarily home,White,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Heterosexual,Yes,Yes,0,0,0,0,1,0
Other,21.0,More,0,1,0,1,0,1,0,0,Georgia,0,0,0,1,0,0,Some College,Under 25,Male,$50-74,0,0,0,1,0,0,0,0,0,USA,Computer,Single,Privacy,4,Macintosh,English,Primarily work,White,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,1,1,1
Programmer,29.0,More,0,1,0,0,0,1,0,0,Maine,0,0,0,1,0,0,College,Under 25,Male,$20-29,0,0,1,0,0,0,0,0,0,USA,Computer,Married,Censorship,1,NT,English,Primarily work,White,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Yes,Heterosexual,No,Yes,0,0,0,0,1,0
College Student,19.0,Dont Know,0,1,0,0,0,0,0,0,Georgia,0,0,0,1,0,0,Some College,51-75,Male,Under $10,0,0,0,0,0,0,0,0,1,USA,Education,Single,Encryption,1,Unix,English,Primarily work,Asian,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,No,Heterosexual,Yes,Yes,0,0,0,1,0,0
Programmer,22.0,Dont Know,0,1,0,0,0,1,0,0,New Jersey,0,0,0,1,0,0,College,Under 25,Male,$40-49,0,0,0,0,0,0,0,0,1,USA,Computer,Single,Censorship,1,Win95,English,Primarily home,White,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0
Manager,35.0,Equally,0,1,0,0,1,0,0,0,California,0,0,0,1,0,0,Masters,Never,Male,Over $100,0,0,1,0,0,0,0,0,0,USA,Management,Married,Other,4,Win95,English,Primarily work,White,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,1
Other,35.0,More,0,0,0,1,0,0,1,0,Missouri,0,0,0,1,0,0,High School,Under 25,Female,$40-49,0,1,0,0,0,0,0,0,0,USA,Professional,Divorced,Privacy,1,Win95,English,Primarily home,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Not Applicable,Heterosexual,Yes,No,0,0,0,0,1,0
Engineer,30.0,More,0,0,0,1,0,0,0,0,Nova Scotia,0,0,0,1,0,0,College,Never,Male,$50-74,0,0,0,1,0,0,0,0,0,Canada,Professional,Married,Navigation,4,Win95,English,Home,White,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,Yes,Heterosexual,No,Yes,0,0,0,0,1,0
Performer,37.0,Dont Know,0,1,0,1,0,1,0,0,New York,0,0,0,1,0,0,High School,Not Say,Male,Not Say,0,0,0,0,0,0,0,1,0,USA,Other,Married,Encryption,1,Macintosh,English,Home,Not Say,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Yes,Not say,Yes,Yes,0,0,0,0,1,0
Programmer,47.0,More,0,0,0,0,0,1,0,0,Ohio,0,0,0,0,0,1,Some College,Never,Male,$50-74,0,0,0,1,0,0,0,0,0,USA,Computer,Married,Privacy,4,Macintosh,English,Primarily work,White,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,1
Other,,Equally,0,0,0,0,0,1,0,0,California,0,0,1,0,0,0,College,Not Say,Male,Under $10,0,0,0,0,0,0,0,1,0,USA,Computer,Other,Taxes,1,NT,English,Primarily home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Yes,Not say,Yes,Yes,0,0,0,0,1,0
Other,29.0,Less,0,0,1,0,0,0,0,0,Massachusetts,0,0,0,1,0,0,College,Over 75,Male,$20-29,0,1,0,0,0,0,0,0,0,USA,Computer,Divorced,Privacy,2,Win95,English,Work,White,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,No,Yes,0,0,0,0,0,1
Retired,63.0,Dont Know,1,0,0,0,0,0,0,0,California,0,0,0,1,0,0,College,nan,Male,Not Say,0,0,0,0,0,0,0,0,1,USA,Other,Divorced,Privacy,1,Macintosh,English,Home,White,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,Yes,Heterosexual,No,No,0,0,0,0,1,0
Programmer,26.0,More,1,1,0,1,0,0,0,0,California,0,0,0,1,0,0,College,Under 25,Female,$75-99,0,0,0,1,0,0,0,0,0,USA,Computer,Other,Privacy,1,NT,English,Primarily home,White,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,1,0,0,1,1
Administrator/Secretary,32.0,Dont Know,0,0,1,0,0,0,0,0,Vermont,0,0,0,1,0,0,Some College,Never,Female,$10-19,0,0,0,0,0,0,0,0,1,USA,Other,Single,Censorship,4,Win95,English,Work,White,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,0,1
College Student,18.0,More,1,1,0,0,0,0,0,0,Oklahoma,0,0,0,1,0,0,High School,Never,Female,$50-74,0,0,0,0,0,0,0,1,0,USA,Education,Single,Censorship,1,Macintosh,English,Primarily work,White,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,Yes,Heterosexual,No,Yes,0,0,1,1,0,0
College Student,18.0,More,0,1,0,0,1,0,1,1,Virginia,0,0,0,1,0,0,Some College,Under 25,Male,Under $10,0,0,0,0,0,0,0,0,1,USA,Education,Single,Censorship,1,NT,English,Primarily work,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,1,0,0
IS,26.0,More,0,0,0,1,0,0,0,0,California,0,0,0,1,0,0,College,Under 25,Male,$40-49,0,0,1,0,0,0,0,0,0,USA,Computer,Other,Privacy,4,Win95,English,Primarily home,White,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0
Homemaker,31.0,Dont Know,0,0,1,0,0,0,0,0,Kansas,0,0,0,1,0,0,Some College,26-50,Female,$30-39,0,0,0,0,0,0,0,0,1,USA,Other,Married,Navigation,1,Win95,English,Home,White,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0
College Student,21.0,Dont Know,0,0,1,0,0,0,0,0,Iowa,0,0,0,1,0,0,Some College,Never,Female,$10-19,0,0,0,0,0,0,0,0,1,USA,Education,Single,Don't Know,2,Don't Know,English,Home,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0
Networking,22.0,Dont Know,0,0,1,0,0,0,0,0,Wisconsin,0,0,0,1,0,0,Some College,Not Say,Male,Not Say,0,1,0,0,0,0,0,0,0,USA,Computer,Single,Other,4,NT,English,Primarily work,White,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,1,1,1
Programmer,35.0,More,0,1,0,0,0,0,0,0,Arizona,0,0,0,1,0,0,College,Never,Female,Not Say,0,0,0,0,0,0,0,0,1,USA,Computer,Married,Dont Know,1,Win95,English,Primarily work,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Bisexual,Yes,Yes,0,0,0,0,0,1
IS,25.0,More,0,1,0,0,0,1,0,0,Switzerland,0,0,0,1,0,0,College,51-75,Male,$40-49,0,0,1,0,0,0,0,0,0,Europe,Computer,Single,Taxes,4,NT,Italian,Primarily work,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,1
Retired,56.0,More,1,1,0,1,0,0,0,0,Connecticut,0,0,0,1,0,0,High School,Never,Female,$40-49,0,0,0,1,0,0,0,0,0,USA,Other,Married,Censorship,4,nan,English,Home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0
K-12 Educator,50.0,More,0,1,0,0,0,1,0,0,North Carolina,0,0,0,1,0,0,Professional,Under 25,Male,$75-99,0,0,0,1,0,0,0,0,0,USA,Education,Married,Censorship,1,Macintosh,English,Primarily work,White,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yes,Heterosexual,Yes,Yes,0,0,0,1,1,0
Manager,47.0,Dont Know,0,0,1,0,0,0,0,0,Ohio,0,0,0,1,0,0,College,Never,Male,$50-74,0,0,1,0,0,0,0,0,0,USA,Management,Married,Navigation,3,Macintosh,English,Primarily work,White,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,0,1
Other,27.0,More,0,1,0,0,0,1,0,1,New Zealand,0,0,0,1,0,0,Professional,Under 25,Female,$30-39,0,0,0,0,0,0,0,0,1,Oceania,Professional,Single,Censorship,1,Win95,English,Home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0
Other,19.0,More,0,1,0,0,0,0,0,0,Arizona,0,0,0,1,0,0,Some College,Under 25,Female,Not Say,0,0,0,1,0,0,0,0,0,USA,Other,Single,Taxes,4,Win95,English,Primarily home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0
College Student,22.0,Equally,0,0,1,0,0,0,0,0,California,0,0,0,1,0,0,Some College,Never,Female,Under $10,0,0,0,0,0,0,0,0,1,USA,Education,Single,Privacy,4,Macintosh,English,Primarily home,Hispanic,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,Yes,Heterosexual,Yes,Yes,0,0,0,1,0,0
Other,50.0,More,1,1,0,0,0,0,0,1,New Zealand,0,0,1,0,0,0,College,Never,Female,$10-19,0,0,0,0,0,0,0,0,1,Oceania,Education,Divorced,Privacy,1,Windows,English,Home,White,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,1,0,0,0,0
Other,29.0,More,0,1,0,1,1,0,0,0,Wisconsin,0,0,0,1,0,0,Masters,Never,Female,$30-39,0,0,0,0,0,0,0,0,1,USA,Management,Single,Taxes,4,Win95,English,Home,White,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0
Other,57.0,Equally,0,0,1,0,0,0,0,0,Pennsylvania,0,0,0,1,0,0,High School,Never,Male,Over $100,0,0,0,0,0,0,0,0,1,USA,Professional,Divorced,Navigation,1,Win95,English,Home,White,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0
Other,27.0,More,1,0,0,0,0,0,0,0,California,0,0,0,1,0,0,Some College,Never,Male,$40-49,0,0,0,0,0,0,0,0,1,USA,Management,Married,Privacy,4,nan,English,Home,Latino,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,Not Say,Heterosexual,Yes,No,0,0,0,0,1,0
Other,33.0,More,0,0,0,0,0,0,0,1,Louisiana,0,0,0,1,0,0,Some College,26-50,Male,$20-29,0,0,0,0,0,0,0,0,1,USA,Other,Single,Censorship,4,nan,English,Home,White,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,No,Yes,0,0,0,0,1,0
Retired,7.0,Dont Know,0,0,1,0,0,0,0,0,Illinois,0,0,0,1,0,0,College,Never,Male,$50-74,0,0,0,0,0,0,0,1,0,USA,Other,Married,Navigation,4,nan,English,Home,White,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0
College Student,22.0,Dont Know,0,0,1,0,0,0,0,0,United Kingdom,0,0,0,1,0,0,College,Never,Male,Under $10,0,0,0,0,0,0,0,0,1,Europe,Education,Single,Navigation,2,Windows,English,School,White,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,Not Say,Heterosexual,Yes,No,0,0,0,1,0,0
Physician,44.0,More,0,0,0,0,0,1,0,0,Alberta,0,0,0,1,0,0,Professional,Not Say,Male,Not Say,0,0,1,0,0,0,0,0,0,Canada,Professional,Married,Privacy,3,Macintosh,English,Primarily home,White,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Not Applicable,Heterosexual,Yes,No,0,0,0,0,0,1
College Student,18.0,More,1,0,0,0,0,0,0,0,Maine,0,0,0,1,0,0,High School,nan,Female,$20-29,0,0,0,1,0,0,0,0,0,USA,Education,Other,Privacy,1,Win95,English,Primarily home,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No,Heterosexual,No,No,0,0,0,0,1,0
Programmer,36.0,More,0,1,0,1,0,1,0,1,Georgia,0,0,0,1,0,0,College,Under 25,Male,$75-99,0,0,0,1,0,1,0,0,0,USA,Computer,Married,Navigation,2,Macintosh,English,Work,White,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,Yes,Heterosexual,Yes,No,0,0,0,0,1,0
Vice President,42.0,Equally,0,0,1,0,0,0,0,0,Pennsylvania,0,0,0,1,0,0,College,Never,Female,Over $100,1,0,0,0,0,0,0,0,1,USA,Management,Married,Other,1,Macintosh,English,Primarily home,White,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,Not Say,Heterosexual,No,Yes,0,1,0,0,0,0
CEO,25.0,Equally,0,0,1,0,0,0,0,0,Tennessee,0,0,0,1,0,0,High School,Never,Male,Over $100,0,0,0,0,0,0,0,0,1,USA,Management,Married,Taxes,1,Win95,English,Home,White,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0
Other,56.0,Equally,0,0,1,0,0,0,0,0,Pennsylvania,0,0,0,1,0,0,College,Never,Male,Over $100,0,0,0,0,0,0,0,0,1,USA,Management,Married,Censorship,2,nan,English,Home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0
College Student,18.0,More,1,1,0,0,0,0,0,0,Minnesota,0,0,0,1,0,0,Some College,Under 25,Male,$10-19,0,0,0,0,0,0,0,0,1,USA,Education,Single,Privacy,2,Win95,English,Primarily home,White,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Heterosexual,Yes,Yes,0,0,0,1,0,0
Other,21.0,More,0,1,0,0,0,0,0,0,California,0,0,0,1,0,0,Some College,Under 25,Female,$20-29,0,0,0,0,0,0,0,0,1,USA,Computer,Single,Privacy,4,Macintosh,English,Primarily work,White,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,0,1
College Student,26.0,Less,0,0,0,1,0,0,0,0,Israel,0,0,0,1,0,0,Some College,Over 75,Female,Under $10,0,0,0,0,0,0,0,0,1,Middle East,Education,Single,Encryption,4,Win95,Hebrew,Home,White,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0
Other,39.0,Dont Know,1,0,0,0,0,1,0,0,California,0,0,0,1,0,0,College,Under 25,Female,$50-74,0,0,0,0,0,0,0,0,1,USA,Professional,Married,Privacy,1,Win95,English,Primarily work,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,Yes,Yes,0,1,0,0,1,0
College Student,22.0,More,0,1,0,0,0,1,0,0,Germany,0,0,0,1,0,0,Some College,Over 75,Male,Under $10,0,0,0,0,0,1,0,0,0,Europe,Education,Single,Censorship,1,Win95,German,Work,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,1,0,1
Mircocomputer,54.0,More,0,0,0,1,0,1,0,0,Washington,0,0,0,1,0,0,Masters,Never,Male,$50-74,0,0,0,1,0,0,0,0,0,USA,Computer,Other,Privacy,1,Macintosh,English,Primarily work,White,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,0,1
CEO,41.0,Equally,0,0,0,0,0,1,0,0,Massachusetts,0,0,0,1,0,0,Some College,Never,Male,Not Say,0,0,0,0,0,0,0,1,0,USA,Management,Divorced,Encryption,4,Macintosh,English,Primarily work,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,0,1
College Student,27.0,More,1,1,0,0,0,1,0,0,New York,0,0,0,1,0,0,Masters,Under 25,Female,$50-74,0,1,0,0,0,1,0,0,0,USA,Education,Married,Privacy,1,Macintosh,English,Primarily work,White,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,Yes,Heterosexual,No,Yes,0,0,0,1,1,0
Self Employed,37.0,Dont Know,1,0,0,0,0,0,0,0,California,0,0,0,1,0,0,High School,Never,Female,$20-29,0,0,0,0,0,0,0,0,1,USA,Management,Other,Privacy,1,Win95,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0
College Student,21.0,More,1,1,0,0,0,1,0,0,Wisconsin,0,0,0,1,0,0,Some College,Never,Female,Under $10,0,1,0,0,0,0,0,0,0,USA,Education,Single,Privacy,4,Win95,English,Primarily work,White,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,No,Yes,0,0,0,1,1,0
College Student,22.0,Dont Know,0,0,1,0,0,0,0,0,Pennsylvania,0,0,0,1,0,0,Some College,Never,Male,Under $10,0,0,0,0,0,0,0,0,1,USA,Education,Single,Censorship,1,Win95,English,Primarily home,White,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0
Other,47.0,More,1,1,0,0,0,0,0,0,Michigan,0,0,0,1,0,0,Some College,Never,Male,$40-49,1,0,0,0,0,0,0,0,0,USA,Other,Married,Privacy,1,nan,English,Home,White,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0
Consultant,35.0,More,0,1,0,0,0,0,0,0,Connecticut,0,0,0,1,0,0,Masters,Under 25,Male,$75-99,0,0,0,0,0,0,0,0,1,USA,Professional,Single,Censorship,1,nan,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Gay male,Yes,No,0,0,0,0,1,0
Salesperson,29.0,More,0,1,0,0,1,0,1,0,Florida,0,0,0,1,0,0,College,Never,Male,$20-29,0,0,0,0,0,0,0,0,1,USA,Professional,Single,Privacy,1,nan,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0
Retired,66.0,More,1,0,0,1,0,0,0,0,Florida,0,0,0,1,0,0,High School,Under 25,Male,$30-39,0,0,0,0,0,0,0,1,0,USA,Other,Separated,Privacy,4,nan,English,Home,White,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,Yes,Bisexual,Yes,No,0,0,0,0,1,0
Other,28.0,Less,0,1,0,0,0,0,0,0,Illinois,0,0,0,1,0,0,Grammar,Under 25,Male,$20-29,0,0,0,0,0,0,0,0,1,USA,Other,Single,Censorship,1,nan,English,Home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0
Programmer,32.0,Equally,0,0,1,0,0,0,0,0,Australia,0,0,0,1,0,0,College,Never,Male,Over $100,0,0,0,1,0,0,0,0,1,Oceania,Computer,Single,Censorship,1,Unix,English,Primarily work,White,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,0,1
Salesperson,50.0,Equally,0,1,0,0,1,1,1,1,Georgia,0,0,0,0,0,1,Professional,Never,Male,$50-74,0,0,0,1,0,0,0,0,0,USA,Professional,Divorced,Censorship,2,Win95,English,Primarily home,White,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0
Programmer,43.0,More,1,1,0,0,1,1,0,0,Pennsylvania,0,0,0,1,0,0,College,Under 25,Male,$50-74,0,0,0,0,0,0,0,0,1,USA,Computer,Married,Censorship,1,NT,English,Primarily home,Not Say,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,No,Yes,0,0,0,0,1,1
Other,42.0,More,0,1,0,0,0,0,0,0,Illinois,0,0,0,1,0,0,Some College,Never,Male,$20-29,0,0,1,0,0,0,0,0,0,USA,Other,Married,Dont Know,1,nan,English,Home,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No,Heterosexual,Yes,Yes,0,0,0,0,1,0
Accountant,31.0,Dont Know,0,0,1,0,0,0,0,0,Oregon,0,0,0,1,0,0,Special,Never,Female,$20-29,0,0,0,0,0,0,0,0,1,USA,Professional,Single,Privacy,4,Win95,English,Primarily work,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,1
Manager,47.0,Dont Know,0,0,1,0,0,0,0,0,Georgia,0,0,0,1,0,0,College,nan,Male,$50-74,0,0,0,0,1,0,0,0,0,USA,Management,Divorced,Privacy,2,Macintosh,English,Primarily home,White,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Yes,Heterosexual,No,Yes,0,0,0,0,1,0
College Student,22.0,Less,0,0,1,0,0,0,0,0,Maryland,0,0,0,1,0,0,Some College,26-50,Male,$20-29,0,0,0,0,0,0,0,0,1,USA,Education,Single,Navigation,1,Win95,English,Primarily home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,No,Heterosexual,Yes,No,0,0,0,1,0,0
