DOB,M_STATUS,SALARY,EDU_DATA,EMP_DATA,REL_ORIEN,FAV_TV,PREF_CAR,GENDER,FAV_CUIS,FAV_MUSIC,ENDU_LEVEL,FAV_SPORT,FAV_COLR,NEWS_SOURCE,DIST_FRM_COAST,MNTLY_TRAVEL,GEN_MOVIES,FAV_SUBJ,ALCOHOL,FAV_SUPERHERO,Dist_Coast,Class
6/17/1980,Unmarried,300k-500k,Graduate,Unemployed,Believer,How I Met your mother,Wolkswagen,Female,Indian,Rap,6 to 10,Soccer,White,MSN,0-10 KM,0-250 KM,Action,Biology,Non Drinkers,wonder woman,617.0,y
8/26/1974,Married,300k-500k,High-School,Unemployed,Atheist,Breaking Bad,Ford,Female,Italian,Hip-Hop,15-18,Baseball,Blue,Huffington Post,40-60 KM,1000-1500 KM,Thriller,Maths,Beer,Thor,927.0,y
10/11/1965,Divorced,700k-1 Million,Post-Graduate,Self-Employed,Agnostic,Flash,Daimler -Benz,Female,Italian,Rap,6 to 10,Swimming,Black,New York Times,10-25 KM,250-500 KM,Comedy,Art,Rum,The hulk,92.0,x
1/23/1992,Unmarried,,Graduate,Self-Employed,Believer,Game of Thrones,Suzuki,Female,French,Hip-Hop,15-18,Basketball,Blue,Huffington Post,40-60 KM,1000-1500 KM,Drama,Physics,Vodka,Batman,766.0,y
7/25/1981,Unmarried,500k-700k,Uneducated,Employed,Believer,How I Met your mother,BMW,Male,Chinese,Heavy Metal,1 to 3,Soccer,Black,New York Times,10-25 KM,0-250 KM,Thriller,Biology,Gin,Thor,1010.0,x
1/30/1989,Unmarried,0-100K,Graduate,Self-Employed,Believer,How I Met your mother,GM,Male,Chinese,Heavy Metal,3 to 5,Basketball,Green,New York Times,10-25 KM,0-250 KM,Thriller,Biology,Gin,Thor,874.0,y
6/12/1964,Unmarried,700k-1 Million,Post-Graduate,Unemployed,Believer,Friends,Audi,Female,Indian,Rap,6 to 10,Soccer,White,MSN,0-10 KM,0-250 KM,Thriller,Art,Beer,Thor,762.0,y
10/10/1978,Unmarried,300k-500k,High-School,Self-Employed,Believer,Breaking Bad,Wolkswagen,Male,Mexican,Hip-Hop,15-18,Soccer,Red,Reuters,25-40 KM,0-250 KM,Horror,Economics,Beer,superman,1407.0,y
10/4/1969,Married,0-100K,Uneducated,Unemployed,Agnostic,Friends,Ford,Female,French,Rap,6 to 10,Cricket,Green,New York Times,40-60 KM,2000+ KM,Action,Biology,Beer,wonder woman,443.0,x
10/9/1981,Unmarried,300k-500k,Graduate,Unemployed,Believer,Narcos,Ford,Female,French,Hip-Hop,15-18,Soccer,Red,Huffington Post,40-60 KM,500-1000 KM,Historical,History,Gin,The hulk,191.0,y
12/13/1991,Divorced,100k-300k,Uneducated,Unemployed,Agnostic,Friends,Ford,Male,Italian,Rap,6 to 10,Swimming,Black,New York Times,25-40 KM,1000-1500 KM,Historical,Art,Beer,The hulk,493.0,x
4/3/1985,Married,300k-500k,High-School,Employed,Believer,Friends,Daimler-Benz,Male,Lebanese,Heavy Metal,3 to 5,Basketball,Green,New York Times,0-10 KM,0-250 KM,Historical,Civics,Beer,Ironman,1021.0,y
12/31/1990,Married,100k-300k,Uneducated,Employed,Believer,Narcos,Ford,Female,French,Hip-Hop,15-18,Basketball,Red,CNN,25-40 KM,1000-1500 KM,Action,Physics,Rum,wonder woman,107.0,y
7/9/1990,Unmarried,100k-300k,Post-Graduate,Unemployed,Believer,Big Bang Theory,Suzuki,Female,French,Rock,15-18,Basketball,Red,Huffington Post,40-60 KM,1000-1500 KM,Comedy,History,Non Drinkers,The hulk,695.0,x
8/15/1969,Married,500k-700k,High-School,Self-Employed,Atheist,Friends,Daimler-Benz,Female,Italian,Rap,6 to 10,Rugby,Black,Fox News,0-10 KM,0-250 KM,Comedy,Art,wine,Thor,381.0,x
5/27/1963,Unmarried,300k-500k,Post-Graduate,Self-Employed,Agnostic,How I Met your mother,Toyota,Male,Lebanese,Heavy Metal,3 to 5,volleyball,Green,New York Times,0-10 KM,0-250 KM,Comedy,Art,Non Drinkers,The hulk,1431.0,y
9/6/1964,Married,300k-500k,Uneducated,Employed,Believer,Friends,Audi,Female,Mediterranean,Rap,6 to 10,Rugby,Yellow,BBC,10-25 KM,250-500 KM,Action,Biology,Beer,wonder woman,515.0,y
10/21/1968,Unmarried,100k-300k,Post-Graduate,Employed,Believer,Flash,Suzuki,Female,Italian,Rap,6 to 10,Soccer,Yellow,BBC,10-25 KM,0-250 KM,Comedy,Art,wine,Thor,68.0,y
11/5/1982,Unmarried,100k-300k,Post-Graduate,Self-Employed,Believer,Game of Thrones,Ford,Female,Italian,Hip-Hop,15-18,Basketball,Red,Reuters,25-40 KM,1000-1500 KM,Horror,Economics,Vodka,superman,240.0,y
1/4/1979,Unmarried,300k-500k,Uneducated,Self-Employed,Believer,Breaking Bad,Ford,Female,Indian,Rock,18-20,Soccer,Blue,Huffington Post,40-60 KM,1000-1500 KM,Horror,Economics,Beer,superman,76.0,x
3/11/1972,Unmarried,500k-700k,Uneducated,Self-Employed,Believer,Game of Thrones,BMW,Male,Chinese,Classical,10 to 12,Soccer,Red,Huffington Post,40-60 KM,500-1000 KM,Drama,Physics,Vodka,spiderman,1270.0,x
9/10/1976,Married,100k-300k,Graduate,Employed,Believer,Prison Break,Suzuki,Female,French,Rap,6 to 10,Basketball,Black,New York Times,0-10 KM,0-250 KM,Horror,Chemistry,Whiskey,spiderman,231.0,x
12/4/1970,Married,700k-1 Million,High-School,Employed,Believer,Narcos,Daimler -Benz,Male,Lebanese,Classical,12 to 15,Basketball,Orange,Reuters,60-80 KM,0-250 KM,Horror,Economics,Rum,spiderman,178.0,y
9/30/1989,Married,500k-700k,Post-Graduate,Self-Employed,Agnostic,Prison Break,Toyota,Male,Thai,Heavy Metal,6 to 10,Cricket,White,MSN,25-40 KM,1000-1500 KM,Historical,Art,Whiskey,The hulk,1478.0,x
4/24/1977,Unmarried,100k-300k,High-School,Self-Employed,Believer,Prison Break,Ford,Female,Indian,Rap,6 to 10,Soccer,Green,New York Times,10-25 KM,250-500 KM,Comedy,Art,Whiskey,Thor,721.0,y
7/5/1995,Married,0-100K,Graduate,Unemployed,Believer,Breaking Bad,Ford,Female,French,Rock,18-20,Rugby,Red,Huffington Post,40-60 KM,1000-1500 KM,Comedy,History,wine,The hulk,741.0,y
6/30/1973,Married,700k-1 Million,Uneducated,Self-Employed,Agnostic,Friends,Audi,Male,Thai,Heavy Metal,6 to 10,Swimming,Black,Fox News,0-10 KM,0-250 KM,Horror,Chemistry,Vodka,spiderman,674.0,x
3/26/1988,Unmarried,500k-700k,Uneducated,Self-Employed,Believer,Prison Break,Toyota,Male,Lebanese,Heavy Metal,3 to 5,Soccer,White,Fox News,0-10 KM,0-250 KM,Drama,Chemistry,Whiskey,Batman,1062.0,y
7/2/1973,Married,100k-300k,Graduate,Self-Employed,Atheist,Breaking Bad,Ford,Male,Thai,Country,12 to 15,Baseball,Red,Huffington Post,40-60 KM,250-500 KM,Comedy,History,Beer,Thor,104.0,y
8/4/1987,Unmarried,500k-700k,Graduate,Self-Employed,Believer,Narcos,Toyota,Female,Mediterranean,Rock,18-20,Basketball,Red,Reuters,60-80 KM,250-500 KM,Thriller,Maths,Non Drinkers,Thor,1183.0,x
6/11/1978,Divorced,500k-700k,High-School,Self-Employed,Agnostic,Breaking Bad,BMW,Male,Mexican,Hip-Hop,15-18,Swimming,Red,Reuters,25-40 KM,250-500 KM,Action,Physics,Beer,wonder woman,885.0,x
8/30/1974,Married,0-100K,Post-Graduate,Employed,Agnostic,Prison Break,Ford,Male,Mexican,Rap,6 to 10,Cricket,Black,New York Times,10-25 KM,250-500 KM,Comedy,Art,Whiskey,The hulk,621.0,x
1/4/1991,Married,300k-500k,High-School,Unemployed,Believer,Narcos,Daimler-Benz,Female,French,Rock,15-18,Basketball,Red,Reuters,60-80 KM,1000-1500 KM,Thriller,Maths,Rum,Thor,359.0,y
9/13/1991,Unmarried,300k-500k,High-School,Self-Employed,Agnostic,Narcos,Daimler-Benz,Male,Italian,Hip-Hop,15-18,volleyball,Blue,CNN,25-40 KM,1000-1500 KM,Drama,Physics,Rum,wonder woman,489.0,x
6/29/1984,Unmarried,300k-500k,Graduate,Self-Employed,Believer,How I Met your mother,Daimler-Benz,Female,French,Rap,6 to 10,Basketball,Yellow,BBC,10-25 KM,250-500 KM,Action,Biology,Non Drinkers,wonder woman,1425.0,x
8/31/1966,Unmarried,100k-300k,Graduate,Unemployed,Believer,Breaking Bad,Suzuki,Female,Mediterranean,Rock,20+,Soccer,Red,CNN,25-40 KM,250-500 KM,Drama,Physics,Beer,spiderman,421.0,y
7/31/1973,Unmarried,300k-500k,Graduate,Self-Employed,Agnostic,Flash,Audi,Female,Italian,Rap,6 to 10,volleyball,Green,New York Times,0-10 KM,0-250 KM,Historical,Civics,wine,The hulk,1433.0,x
10/27/1971,Unmarried,0-100K,Post-Graduate,Self-Employed,Believer,Friends,GM,Female,Mediterranean,Rap,6 to 10,Basketball,Yellow,BBC,0-10 KM,0-250 KM,Romantic,English,Beer,Ironman,654.0,y
10/28/1966,Married,0-100K,High-School,Employed,Agnostic,Narcos,Ford,Male,Thai,Country,12 to 15,Cricket,Red,Huffington Post,40-60 KM,500-1000 KM,Historical,History,Rum,The hulk,53.0,y
4/13/1990,Unmarried,0-100K,Post-Graduate,Employed,Believer,Breaking Bad,GM,Male,Lebanese,Classical,12 to 15,Soccer,Red,Huffington Post,40-60 KM,250-500 KM,Action,Physics,Beer,wonder woman,1058.0,x
1/7/1962,Married,700k-1 Million,Uneducated,Employed,Agnostic,Breaking Bad,Audi,Male,Lebanese,Classical,12 to 15,Cricket,purple,Associated Press,10-25 KM,1500-2000 KM,Thriller,Maths,Beer,Thor,610.0,x
1/5/1965,Married,500k-700k,Uneducated,Employed,Atheist,Prison Break,Toyota,Male,Mexican,Light Metal,6 to 10,Baseball,White,MSN,0-10 KM,0-250 KM,Horror,Chemistry,Whiskey,superman,289.0,x
11/18/1985,Married,100k-300k,Graduate,Employed,Agnostic,Friends,Nissan,Male,Lebanese,Heavy Metal,3 to 5,Cricket,Yellow,BBC,0-10 KM,0-250 KM,Romantic,English,Vodka,Ironman,190.0,y
6/23/1962,Married,500k-700k,Post-Graduate,Employed,Agnostic,Narcos,Toyota,Female,Indian,Rock,18-20,Swimming,Blue,Huffington Post,40-60 KM,250-500 KM,Comedy,History,Rum,The hulk,218.0,y
10/24/1978,Married,300k-500k,Graduate,Unemployed,Believer,Friends,Daimler-Benz,Male,Chinese,Heavy Metal,1 to 3,Rugby,Black,Fox News,10-25 KM,0-250 KM,Drama,Chemistry,wine,Batman,1192.0,x
2/18/1971,Married,300k-500k,Post-Graduate,Unemployed,Believer,Prison Break,Toyota,Male,Thai,Heavy Metal,6 to 10,Rugby,Black,Fox News,0-10 KM,0-250 KM,Horror,Chemistry,Vodka,superman,502.0,y
5/5/1973,Unmarried,100k-300k,Graduate,Employed,Believer,How I Met your mother,Suzuki,Male,Mexican,Light Metal,6 to 10,Soccer,Green,New York Times,0-10 KM,0-250 KM,Comedy,Art,Non Drinkers,Thor,606.0,y
4/29/1963,Unmarried,300k-500k,Graduate,Self-Employed,Agnostic,Breaking Bad,Daimler-Benz,Male,Mexican,Hip-Hop,15-18,volleyball,Red,Reuters,25-40 KM,0-250 KM,Action,Physics,Beer,wonder woman,214.0,y
3/25/1988,Married,100k-300k,Uneducated,Employed,Believer,Narcos,Suzuki,Female,French,Rock,18-20,Rugby,Red,Huffington Post,40-60 KM,1000-1500 KM,Romantic,Commerce,Rum,Ironman,1253.0,x
4/2/1986,Unmarried,500k-700k,Uneducated,Unemployed,Believer,Breaking Bad,Daimler-Benz,Male,Mexican,Hip-Hop,15-18,Soccer,Orange,Reuters,60-80 KM,1000-1500 KM,Action,Physics,wine,wonder woman,1481.0,x
2/16/1965,Married,500k-700k,High-School,Employed,Atheist,Narcos,Toyota,Female,French,Rock,15-18,Baseball,purple,Associated Press,10-25 KM,1500-2000 KM,Comedy,History,Rum,Thor,134.0,x
8/29/1987,Unmarried,100k-300k,Post-Graduate,Employed,Believer,Game of Thrones,Ford,Male,Chinese,Classical,10 to 12,Soccer,Red,CNN,25-40 KM,250-500 KM,Historical,Commerce,Vodka,The hulk,1484.0,x
1/16/1968,Unmarried,300k-500k,Graduate,Unemployed,Believer,Friends,Daimler-Benz,Male,Mexican,Rap,6 to 10,Soccer,Black,New York Times,10-25 KM,250-500 KM,Thriller,Biology,Vodka,Thor,155.0,x
5/13/1978,Married,300k-500k,Graduate,Employed,Believer,Friends,Daimler-Benz,Male,Thai,Heavy Metal,6 to 10,Basketball,Black,Fox News,10-25 KM,250-500 KM,Drama,Chemistry,Beer,Batman,945.0,y
12/21/1990,Married,0-100K,High-School,Unemployed,Agnostic,Flash,GM,Male,Lebanese,Heavy Metal,3 to 5,Cricket,Black,Fox News,0-10 KM,0-250 KM,Drama,Chemistry,Rum,Batman,1312.0,y
9/28/1991,Unmarried,300k-500k,Post-Graduate,Self-Employed,Believer,Flash,Wolkswagen,Male,Mexican,Rap,6 to 10,Soccer,White,MSN,10-25 KM,250-500 KM,Thriller,Biology,Rum,Thor,1319.0,y
4/26/1972,Married,100k-300k,Uneducated,Self-Employed,Atheist,Flash,Ford,Female,Indian,Rap,6 to 10,Rugby,Black,Fox News,10-25 KM,0-250 KM,Action,Biology,wine,wonder woman,335.0,y
1/6/1965,Unmarried,300k-500k,Graduate,Self-Employed,Believer,Game of Thrones,Daimler-Benz,Male,Mexican,Hip-Hop,15-18,Soccer,Red,Reuters,25-40 KM,500-1000 KM,Horror,Economics,Whiskey,spiderman,1403.0,y
9/8/1982,Married,300k-500k,Graduate,Employed,Agnostic,Breaking Bad,Audi,Male,Mexican,Country,12 to 15,Swimming,Red,Reuters,60-80 KM,1000-1500 KM,Historical,History,Beer,The hulk,891.0,x
9/28/1980,Married,300k-500k,Graduate,Self-Employed,Atheist,Friends,Daimler-Benz,Male,Mexican,Light Metal,6 to 10,Baseball,Yellow,BBC,10-25 KM,0-250 KM,Romantic,English,Beer,Ironman,677.0,x
3/24/1990,Married,100k-300k,Uneducated,Unemployed,Believer,Big Bang Theory,Suzuki,Male,Lebanese,Classical,10 to 12,Basketball,Blue,Huffington Post,40-60 KM,0-250 KM,Romantic,Commerce,Non Drinkers,Ironman,1468.0,y
4/12/1985,Married,300k-500k,Post-Graduate,Employed,Agnostic,Breaking Bad,Audi,Male,Chinese,Classical,10 to 12,Cricket,Red,Reuters,25-40 KM,500-1000 KM,Horror,Physics,Beer,spiderman,129.0,x
7/30/1972,Married,100k-300k,Graduate,Unemployed,Agnostic,Prison Break,Suzuki,Female,Italian,Rap,6 to 10,Cricket,Black,Fox News,10-25 KM,250-500 KM,Horror,Chemistry,Whiskey,superman,574.0,x
8/12/1988,Unmarried,100k-300k,Uneducated,Self-Employed,Believer,How I Met your mother,Honda,Female,French,Rap,6 to 10,Basketball,White,Fox News,0-10 KM,0-250 KM,Drama,Chemistry,Non Drinkers,spiderman,131.0,y
12/18/1973,Divorced,300k-500k,Uneducated,Employed,Agnostic,Narcos,Ford,Male,Thai,Country,12 to 15,Swimming,Red,Reuters,25-40 KM,250-500 KM,Romantic,Commerce,Rum,Ironman,1059.0,y
12/5/1978,Unmarried,300k-500k,High-School,Employed,Agnostic,Narcos,Audi,Male,Chinese,Classical,10 to 12,volleyball,Orange,Associated Press,60-80 KM,500-1000 KM,Thriller,Maths,Rum,Thor,750.0,x
10/8/1982,Married,300k-500k,Post-Graduate,Employed,Believer,Narcos,Ford,Female,Mediterranean,Rock,20+,Basketball,Red,Reuters,25-40 KM,1000-1500 KM,Drama,Physics,Rum,Batman,176.0,x
5/22/1964,Married,300k-500k,High-School,Self-Employed,Agnostic,Narcos,Ford,Male,Mexican,Country,12 to 15,Cricket,Red,Huffington Post,40-60 KM,1000-1500 KM,Action,Physics,Rum,wonder woman,407.0,x
9/12/1984,Unmarried,300k-500k,High-School,Unemployed,Believer,Big Bang Theory,Daimler-Benz,Female,French,Hip-Hop,15-18,Soccer,Blue,Huffington Post,40-60 KM,250-500 KM,Historical,Commerce,Non Drinkers,Ironman,99.0,x
11/24/1978,Married,700k-1 Million,Graduate,Unemployed,Atheist,Flash,Audi,Male,Chinese,Heavy Metal,1 to 3,Baseball,Green,New York Times,0-10 KM,0-250 KM,Horror,Chemistry,Rum,superman,339.0,x
11/10/1978,Married,700k-1 Million,Graduate,Unemployed,Believer,Breaking Bad,Audi,Male,Chinese,Classical,10 to 12,Basketball,Red,CNN,25-40 KM,500-1000 KM,Historical,Commerce,wine,The hulk,1488.0,y
9/10/1988,Married,500k-700k,Graduate,Self-Employed,Believer,Dexter,Daimler-Benz,Male,Chinese,Classical,10 to 12,Basketball,Red,Reuters,60-80 KM,0-250 KM,Action,Physics,Beer,wonder woman,111.0,x
1/23/1965,Unmarried,300k-500k,Uneducated,Employed,Believer,Flash,Ford,Male,Lebanese,Heavy Metal,3 to 5,Soccer,White,Fox News,0-10 KM,0-250 KM,Drama,Chemistry,Rum,Batman,1103.0,x
1/16/1975,Married,500k-700k,Graduate,Self-Employed,Agnostic,Breaking Bad,Toyota,Male,Mexican,Hip-Hop,15-18,Cricket,Red,Huffington Post,40-60 KM,1000-1500 KM,Romantic,Commerce,Beer,Ironman,315.0,y
1/1/1974,Unmarried,500k-700k,Graduate,Unemployed,Believer,Narcos,Toyota,Male,Mexican,Country,12 to 15,Soccer,Red,Reuters,25-40 KM,250-500 KM,Historical,History,Rum,The hulk,270.0,x
8/16/1961,Unmarried,500k-700k,Uneducated,Unemployed,Believer,Big Bang Theory,Toyota,Male,Mexican,Hip-Hop,12 to 15,Soccer,Red,Reuters,25-40 KM,250-500 KM,Horror,Physics,Non Drinkers,spiderman,1036.0,x
6/12/1982,Unmarried,300k-500k,Graduate,Employed,Agnostic,Narcos,Ford,Male,Chinese,Classical,10 to 12,volleyball,Blue,CNN,25-40 KM,0-250 KM,Action,Physics,Gin,wonder woman,1459.0,x
6/27/1973,Divorced,100k-300k,Post-Graduate,Employed,Agnostic,Big Bang Theory,Nissan,Male,Chinese,Classical,10 to 12,Swimming,Red,Reuters,60-80 KM,0-250 KM,Thriller,Maths,Non Drinkers,Thor,347.0,x
9/16/1993,Married,500k-700k,Uneducated,Unemployed,Believer,sherlock,BMW,Male,Mexican,Rap,6 to 10,Basketball,White,Fox News,10-25 KM,250-500 KM,Thriller,Biology,Non Drinkers,Thor,781.0,x
1/19/1974,Unmarried,500k-700k,Graduate,Employed,Agnostic,How I Met your mother,Toyota,Male,Italian,Rap,6 to 10,volleyball,Yellow,BBC,10-25 KM,250-500 KM,Thriller,Biology,Non Drinkers,Thor,1002.0,y
6/3/1966,Divorced,100k-300k,High-School,Unemployed,Agnostic,Prison Break,Suzuki,Male,Italian,Rap,6 to 10,Swimming,Black,Fox News,40-60 KM,2000+ KM,Action,Biology,Whiskey,Thor,156.0,y
7/10/1990,Married,300k-500k,Graduate,Employed,Atheist,Friends,Daimler-Benz,Female,French,Rap,6 to 10,Baseball,Black,Fox News,25-40 KM,1500-2000 KM,Comedy,Art,Beer,Thor,887.0,y
9/26/1995,Unmarried,300k-500k,Post-Graduate,Self-Employed,Believer,Game of Thrones,Audi,Male,Lebanese,Country,12 to 15,Basketball,Blue,CNN,25-40 KM,1000-1500 KM,Comedy,History,Vodka,Thor,252.0,y
7/19/1982,Unmarried,0-100K,High-School,Unemployed,Believer,Friends,GM,Female,French,Rap,6 to 10,Basketball,White,Fox News,0-10 KM,0-250 KM,Horror,Chemistry,Vodka,spiderman,1471.0,x
4/5/1988,Unmarried,0-100K,Graduate,Self-Employed,Believer,Game of Thrones,Ford,Male,Mexican,Hip-Hop,15-18,Basketball,Blue,CNN,25-40 KM,0-250 KM,Horror,Physics,Vodka,spiderman,355.0,y
6/6/1963,Unmarried,300k-500k,Graduate,Self-Employed,Agnostic,Big Bang Theory,Audi,Female,Mediterranean,Rock,20+,cycling,Blue,Huffington Post,40-60 KM,1000-1500 KM,Comedy,Maths,Non Drinkers,Thor,666.0,x
11/11/1993,Unmarried,300k-500k,Uneducated,Self-Employed,Believer,Dexter,Audi,Female,Italian,Hip-Hop,15-18,Basketball,Red,CNN,25-40 KM,1000-1500 KM,Comedy,History,Beer,The hulk,156.0,x
7/17/1980,Unmarried,300k-500k,Graduate,Self-Employed,Believer,Flash,Audi,Female,Italian,Rap,6 to 10,Soccer,White,MSN,0-10 KM,0-250 KM,Romantic,English,Rum,Ironman,1149.0,x
7/30/1962,Married,500k-700k,Uneducated,Unemployed,Agnostic,Breaking Bad,Toyota,Male,Mexican,Hip-Hop,15-18,Baseball,purple,Associated Press,10-25 KM,1500-2000 KM,Action,Physics,wine,wonder woman,1351.0,y
11/4/1964,Divorced,300k-500k,High-School,Self-Employed,Agnostic,Dexter,Ford,Male,Chinese,Classical,10 to 12,Swimming,purple,Associated Press,0-10 KM,1500-2000 KM,Romantic,Commerce,Beer,Ironman,1095.0,x
10/21/1995,Unmarried,300k-500k,Uneducated,Self-Employed,Believer,Breaking Bad,Ford,Male,Thai,Country,12 to 15,Soccer,Red,Reuters,60-80 KM,1000-1500 KM,Drama,Physics,wine,Batman,548.0,x
12/12/1985,Married,300k-500k,Graduate,Unemployed,Believer,Friends,Daimler-Benz,Male,Mexican,Rap,6 to 10,Rugby,White,MSN,10-25 KM,250-500 KM,Horror,Chemistry,Beer,spiderman,252.0,x
7/24/1966,Married,500k-700k,Uneducated,Unemployed,Atheist,Prison Break,Daimler-Benz,Male,Thai,Heavy Metal,6 to 10,Rugby,White,Fox News,0-10 KM,0-250 KM,Comedy,Art,Whiskey,Thor,372.0,y
10/6/1982,Married,500k-700k,Graduate,Unemployed,Believer,Friends,BMW,Male,Mexican,Rap,6 to 10,Rugby,White,MSN,10-25 KM,0-250 KM,Horror,Chemistry,Vodka,spiderman,1176.0,y
6/1/1995,Married,100k-300k,Uneducated,Self-Employed,Agnostic,Narcos,Suzuki,Male,Mexican,Hip-Hop,15-18,Baseball,Red,Huffington Post,40-60 KM,250-500 KM,Action,Physics,Non Drinkers,wonder woman,697.0,y
7/21/1984,,300k-500k,High-School,Employed,Believer,Friends,Wolkswagen,Male,Thai,Heavy Metal,6 to 10,Basketball,Black,Fox News,10-25 KM,0-250 KM,Romantic,English,Vodka,Ironman,1323.0,x
1/3/1964,Unmarried,300k-500k,High-School,Unemployed,Believer,Prison Break,Daimler-Benz,Female,Indian,Rap,6 to 10,Basketball,White,Fox News,10-25 KM,250-500 KM,Action,Biology,Whiskey,wonder woman,325.0,y
2/17/1968,Married,300k-500k,Graduate,Self-Employed,Believer,Friends,Audi,,French,Rap,6 to 10,Basketball,Green,New York Times,10-25 KM,250-500 KM,Horror,Chemistry,Beer,spiderman,730.0,y
4/19/1975,Married,100k-300k,Uneducated,Employed,Believer,Big Bang Theory,Ford,Male,Lebanese,Country,12 to 15,Rugby,Red,CNN,25-40 KM,250-500 KM,Horror,Economics,Non Drinkers,spiderman,1347.0,y
4/20/1960,Married,300k-500k,Graduate,Self-Employed,Believer,Breaking Bad,Daimler-Benz,Male,Thai,Country,12 to 15,Rugby,Red,Reuters,25-40 KM,500-1000 KM,Thriller,Maths,wine,Thor,481.0,x
7/8/1983,Divorced,500k-700k,Graduate,Unemployed,Agnostic,Flash,Toyota,Male,Lebanese,Heavy Metal,3 to 5,Swimming,Black,Fox News,10-25 KM,0-250 KM,Thriller,Biology,Rum,Thor,246.0,x
3/21/1960,Married,500k-700k,Post-Graduate,Employed,Believer,Prison Break,Toyota,Female,Mediterranean,Rap,6 to 10,Basketball,Green,New York Times,0-10 KM,0-250 KM,Thriller,Biology,Whiskey,Thor,791.0,y
3/9/1994,Married,300k-500k,Post-Graduate,Employed,Believer,Friends,Audi,Male,Lebanese,Heavy Metal,3 to 5,Basketball,Black,New York Times,0-10 KM,0-250 KM,Romantic,English,Beer,Ironman,1310.0,y
7/4/1988,Married,100k-300k,Post-Graduate,Unemployed,Atheist,Friends,Ford,Female,Mediterranean,Rap,6 to 10,Baseball,Green,New York Times,40-60 KM,1500-2000 KM,Drama,Chemistry,Vodka,Batman,761.0,y
8/1/1987,Married,300k-500k,Uneducated,Self-Employed,Believer,Breaking Bad,Ford,Female,Italian,Hip-Hop,15-18,Basketball,Red,Huffington Post,40-60 KM,250-500 KM,Romantic,Commerce,wine,Ironman,832.0,y
6/8/1981,Unmarried,300k-500k,Post-Graduate,Unemployed,Believer,Breaking Bad,Daimler-Benz,Female,Indian,Rock,18-20,Soccer,Red,CNN,25-40 KM,1000-1500 KM,Comedy,History,Beer,The hulk,1454.0,x
7/24/1974,Married,100k-300k,Uneducated,Self-Employed,Atheist,Breaking Bad,Suzuki,Male,Chinese,Classical,10 to 12,Baseball,Red,Reuters,60-80 KM,250-500 KM,Horror,Economics,Beer,spiderman,860.0,x
1/25/1992,Married,300k-500k,Graduate,Employed,Atheist,How I Met your mother,Audi,Male,Thai,Light Metal,6 to 10,Baseball,Black,New York Times,10-25 KM,250-500 KM,Thriller,Biology,Non Drinkers,Thor,707.0,x
10/31/1964,Married,300k-500k,Graduate,Employed,Agnostic,sherlock,Ford,Male,Mexican,Light Metal,6 to 10,Baseball,Black,Fox News,40-60 KM,2000+ KM,Action,Biology,Non Drinkers,wonder woman,107.0,y
12/31/1990,Unmarried,500k-700k,Graduate,Employed,Believer,Prison Break,BMW,Male,Lebanese,Heavy Metal,3 to 5,Basketball,Green,New York Times,40-60 KM,1500-2000 KM,Thriller,Art,Whiskey,Thor,329.0,y
3/16/1981,Unmarried,700k-1 Million,Post-Graduate,Employed,Agnostic,Breaking Bad,Daimler -Benz,Female,Mediterranean,Rock,18-20,cycling,Blue,Huffington Post,40-60 KM,500-1000 KM,Historical,Commerce,Beer,Ironman,1261.0,y
9/14/1985,Unmarried,0-100K,Post-Graduate,Unemployed,Agnostic,Breaking Bad,Ford,Female,Indian,Rock,18-20,cycling,Red,Reuters,25-40 KM,250-500 KM,Historical,Commerce,Beer,Ironman,534.0,x
1/3/1984,Married,500k-700k,Post-Graduate,Employed,Agnostic,Prison Break,BMW,Female,Korean,Rap,6 to 10,Baseball,White,MSN,10-25 KM,250-500 KM,Romantic,English,Whiskey,Ironman,681.0,x
8/3/1974,Married,300k-500k,Post-Graduate,Employed,Agnostic,Narcos,Audi,Female,Indian,Rock,18-20,Swimming,Blue,Huffington Post,40-60 KM,0-250 KM,Action,Physics,Rum,wonder woman,1112.0,y
12/31/1968,Unmarried,300k-500k,Post-Graduate,Self-Employed,Believer,Game of Thrones,Daimler-Benz,Male,Mexican,Hip-Hop,12 to 15,Soccer,Blue,Huffington Post,40-60 KM,500-1000 KM,Action,Physics,Vodka,wonder woman,587.0,x
8/13/1990,Married,500k-700k,Uneducated,Employed,Believer,Breaking Bad,BMW,Male,Chinese,Classical,10 to 12,Basketball,Blue,CNN,25-40 KM,1000-1500 KM,Historical,Commerce,Beer,Ironman,1187.0,x
4/16/1968,Married,,Post-Graduate,Employed,Believer,Dexter,Honda,Male,Mexican,Hip-Hop,12 to 15,Basketball,Red,Reuters,25-40 KM,1000-1500 KM,Comedy,Maths,Vodka,Thor,852.0,x
5/7/1970,Married,100k-300k,Graduate,Unemployed,Believer,Flash,Suzuki,Male,Lebanese,Heavy Metal,6 to 10,Basketball,Black,New York Times,0-10 KM,0-250 KM,Action,Biology,Rum,wonder woman,1197.0,x
1/12/1978,Divorced,500k-700k,Post-Graduate,Self-Employed,Agnostic,Narcos,BMW,Female,French,Hip-Hop,15-18,volleyball,Blue,Huffington Post,40-60 KM,500-1000 KM,Action,Maths,Non Drinkers,Thor,888.0,y
